Tn,Tavg,RH_avg,ss,ff_avg
25.00,30.10,73.00,5.80,1.00
24.00,28.50,75.00,5.00,1.00
22.00,27.50,66.00,7.30,1.00
24.00,27.70,68.00,7.40,1.00
25.00,28.20,71.00,6.20,2.00
26.00,29.00,72.00,8.00,2.00
25.00,29.10,73.00,8.00,2.00
24.00,27.10,85.00,5.00,1.00
25.00,28.40,70.00,8.00,2.00
26.00,28.30,69.00,4.80,2.00
26.00,28.70,72.00,8.00,2.00
26.00,29.70,68.00,8.00,2.00
26.00,29.20,70.00,8.00,1.00
25.00,29.30,63.00,8.00,2.00
25.00,28.70,66.00,8.00,2.00
25.00,28.70,67.00,8.00,3.00
25.00,29.60,64.00,8.00,3.00
25.00,28.90,74.00,8.00,2.00
26.00,29.20,72.00,8.00,2.00
25.00,28.90,77.00,7.00,3.00
26.00,29.10,73.00,7.00,3.00
26.00,29.70,73.00,8.00,2.00
25.00,29.90,70.00,8.00,2.00
27.00,28.90,76.00,7.20,2.00
26.00,29.00,76.00,2.30,2.00
24.00,28.70,75.00,8.00,2.00
25.00,28.30,78.00,5.50,2.00
25.00,28.00,78.00,3.50,2.00
28.00,27.80,82.00,7.80,1.00
25.00,28.50,76.00,8.00,2.00
25.00,28.80,73.00,5.30,2.00
25.00,28.60,67.00,8.00,2.00
25.00,29.20,68.00,8.00,2.00
25.00,28.90,73.00,8.00,2.00
25.00,29.10,73.00,4.00,2.00
26.00,28.10,77.00,4.30,2.00
26.00,28.80,71.00,2.50,2.00
25.00,28.70,72.00,6.50,2.00
26.00,28.90,73.00,6.00,1.00
26.00,29.50,72.00,6.20,2.00
25.00,29.70,71.00,7.80,2.00
25.00,29.10,71.00,3.30,2.00
25.00,29.00,73.00,5.00,2.00
26.00,29.10,70.00,8.00,2.00
26.00,29.80,63.00,8.00,2.00
27.00,29.80,69.00,7.60,2.00
26.00,29.40,72.00,7.70,2.00
26.00,28.90,70.00,7.40,2.00
27.00,29.70,74.00,3.00,2.00
27.00,29.40,70.00,6.70,3.00
26.00,28.30,78.00,2.00,2.00
26.00,29.40,71.00,4.00,1.00
27.00,29.80,72.00,2.00,0.00
26.00,29.90,69.00,7.00,1.00
26.00,29.60,65.00,8.00,2.00
25.00,29.80,71.00,7.40,2.00
26.00,28.80,74.00,8.00,1.00
25.00,28.80,70.00,1.20,1.00
26.00,29.20,73.00,8.00,2.00
26.00,29.40,68.00,7.00,1.00
26.00,29.70,66.00,8.00,2.00
25.00,29.60,69.00,8.00,2.00
